index,audio,효과음,image,이미지 등장시간,image effect,text3등장시간(s),텍스트 속도(s),text1,텍스트1 연출,text2,text3,텍스트3 연출,select1,select1 moving index,select2,select2 moving index,select3,select3 moving index
1,0,0,1.jpg,0,0,0,0,,0,,,0,0,2,0,0,0,0
2,0,0,2.jpg,0,0,0,0,에이미의 방,1,,,0,0,3,0,0,0,0
3,0,0,3.jpg,0,0,0,0,,0,,,0,0,4,0,0,0,0
4,0,0,4.jpg,0,0,0,0,에이미의 방,1,에이미,"""와... 한 달 동안 가는 거야? 그럼 돈도 많이 들겠지?""",2,0,5,0,0,0,0
5,0,0,4.jpg,0,0,0,0,에이미의 방,1,소피아,"""응. 한 달 동안 천 이백 만원 정도?""",5,0,6,0,0,0,0
6,0,0,4.jpg,0,0,0,0,에이미의 방,1,에이미,"""...한 달 동안 너 없으면 너무 심심하겠다.""",2,0,7,0,0,0,0
7,0,0,4.jpg,0,0,0,0,,0,소피아,"""너도 같이 가자! 나중에는 가고 싶어도 갈 시간 없어.""",5,0,8,0,0,0,0
8,0,0,4.jpg,0,0,0,0,,0,에이미,"""아빠한테 물어봐야 해...""",2,0,9,0,0,0,0
9,0,0,4.jpg,0,0,0,0,,0,,에이미는 고민에 빠진다.,4,0,10,0,0,0,0
10,0,0,3.jpg,0,0,0,0,,0,,,0,0,11,0,0,0,0
11,0,0,11.jpg,0,0,0,0,부엌,1,에이미,"""아빠 나 할 말 있어.""",2,0,12,0,0,0,0
12,0,0,11.jpg,0,0,0,0,부엌,1,데이빗,"""어 그래. 이따가. 우선 이것 좀 도와줄래?.""",2,0,13,0,0,0,0
13,0,0,11.jpg,0,0,0,0,부엌,1,데이빗,"""그런데 우리 딸 무슨 일이야?""",2,0,14,0,0,0,0
14,0,0,12.jpg,0,0,0,0,,0,에이미,"""아빠 나 이제 성인인데 유럽 여행 보내주면 안돼?""",2,0,15,0,0,0,0
15,0,0,12.jpg,0,0,0,0,,0,데이빗,"""안돼 유럽은 혼자 가기에는 너무 위험해.""",2,0,16,0,0,0,0
16,0,0,12.jpg,0,0,0,0,,0,에이미,""" 이번에 내 친구가 한 달 여행 가는데 같이 가고싶어. """,2,0,17,0,0,0,0
17,0,0,13.jpg,0,0,0,0,,0,데이빗,"""...한 달은 너무 길지 않니?""",2,0,18,0,0,0,0
18,0,0,13.jpg,0,0,0,0,,0,에이미,"""유럽은 한 달은 있어야 다 둘러볼 수 있대. 이제 대학가면 여행 갈 시간도 없단말이야.""",2,0,19,0,0,0,0
19,0,0,13.jpg,0,0,0,0,,0,,잠시 고민하는 데이빗,4,0,20,0,0,0,0
20,0,0,14.jpg,0,0,0,0,,0,데이빗,"""…우선 이따가 앉아서 얘기하자""",2,0,21,0,0,0,0
21,0,0,14.jpg,0,0,0,0,,0,,,0,0,22,0,0,0,0
22,0,0,14.jpg,0,0,0,0,거실,1,데이빗,"""언제 가는 건데?""",2,0,23,0,0,0,0
23,0,0,15.jpg,0,0,0,0,거실,1,에이미,"""2주 뒤!""",2,0,24,0,0,0,0
24,0,0,15.jpg,0,0,0,0,거실,1,데이빗,"""뭐? 너무 갑작스럽지 않아?""",2,0,25,0,0,0,0
25,0,0,15.jpg,0,0,0,0,,0,에이미,"""그래야 지금 바로 티켓도 끊을 수 있고 소피아한테도 알려주지""",2,0,26,0,0,0,0
26,0,0,15.jpg,0,0,0,0,,0,,난처해진 데이빗은 딸의 계속되는 부탁에 결국 허락해준다.,4,0,27,0,0,0,0
27,0,0,15.jpg,0,0,0,0,,0,데이빗,"""대신 조건이 있어. 매일 아침과 저녁에 전화해.""",2,0,28,0,0,0,0
28,0,0,15.jpg,0,0,0,0,,0,,에이미는 약속을 꼭 지키겠다며 데이빗을 꼭 끌어안는다.,4,0,29,0,0,0,0
29,0,0,3.jpg,0,0,0,0,,0,,,0,0,30,0,0,0,0
